srgb_byte,float_upload,previous_8bit_quantization
104,0.138432,0.13725490196078433
105,0.141263,0.1411764705882353
106,0.144129,0.1450980392156863
107,0.147027,0.1450980392156863
108,0.14996,0.14901960784313725
109,0.152926,0.15294117647058825
110,0.155926,0.1568627450980392
111,0.158961,0.1607843137254902
112,0.162029,0.1607843137254902
113,0.165132,0.16470588235294117
114,0.168269,0.16862745098039217
115,0.171441,0.17254901960784313
116,0.174647,0.17647058823529413
117,0.177888,0.17647058823529413
118,0.181164,0.1803921568627451
119,0.184475,0.1843137254901961
120,0.187821,0.18823529411764706
121,0.191202,0.19215686274509805
122,0.194618,0.19607843137254902
123,0.198069,0.2
124,0.201556,0.2
125,0.205079,0.20392156862745098
126,0.208637,0.20784313725490197
127,0.212231,0.21176470588235294
128,0.215861,0.21568627450980393
129,0.219526,0.2196078431372549
130,0.223228,0.2235294117647059
131,0.226966,0.22745098039215686
132,0.23074,0.23137254901960785
133,0.234551,0.23529411764705882
134,0.238398,0.23921568627450981
135,0.242281,0.24313725490196078
136,0.246201,0.24705882352941178
137,0.250158,0.25098039215686274
138,0.254152,0.2549019607843137
139,0.258183,0.25882352941176473
140,0.262251,0.2627450980392157
141,0.266356,0.26666666666666666
142,0.270498,0.27058823529411763
143,0.274677,0.27450980392156865
144,0.278894,0.2784313725490196
145,0.283149,0.2823529411764706
146,0.287441,0.28627450980392155
147,0.291771,0.2901960784313726
148,0.296138,0.2980392156862745
149,0.300544,0.30196078431372547
150,0.304987,0.3058823529411765
151,0.309469,0.30980392156862746
152,0.313989,0.3137254901960784
153,0.318547,0.3176470588235294
154,0.323143,0.3215686274509804
155,0.327778,0.32941176470588235
156,0.332452,0.3333333333333333
157,0.337164,0.33725490196078434
158,0.341914,0.3411764705882353
159,0.346704,0.34509803921568627
160,0.351533,0.35294117647058826
161,0.3564,0.3568627450980392
162,0.361307,0.3607843137254902
163,0.366253,0.36470588235294116
164,0.371238,0.37254901960784315
165,0.376262,0.3764705882352941
166,0.381326,0.3803921568627451
167,0.38643,0.38823529411764707
